dictionary_type,surface,canonical,pinyin,tone_pinyin,weight,target_boost,domain_id,is_alias,single_char_role,ime_layer,frequency_rank,source
base_dictionary,王,王,wang,wang2,0.12,0,,0,content_single_char,single_char,75,common-standard-level-1+pinyin-data
base_dictionary,开,开,kai,kai1,0.12,0,,0,content_single_char,single_char,76,common-standard-level-1+pinyin-data
base_dictionary,井,井,jing,jing3,0.12,0,,0,content_single_char,single_char,77,common-standard-level-1+pinyin-data
base_dictionary,天,天,tian,tian1,0.26,0,,0,time_single_char,single_char,78,common-standard-level-1+pinyin-data
base_dictionary,夫,夫,fu,fu1,0.12,0,,0,content_single_char,single_char,79,common-standard-level-1+pinyin-data
base_dictionary,元,元,yuan,yuan2,0.22,0,,0,measure_single_char,single_char,80,common-standard-level-1+pinyin-data
base_dictionary,无,无,wu,wu2,0.12,0,,0,content_single_char,single_char,81,common-standard-level-1+pinyin-data
base_dictionary,云,云,yun,yun2,0.12,0,,0,content_single_char,single_char,82,common-standard-level-1+pinyin-data
base_dictionary,专,专,zhuan,zhuan1,0.12,0,,0,content_single_char,single_char,83,common-standard-level-1+pinyin-data
base_dictionary,丐,丐,gai,gai4,0.12,0,,0,content_single_char,single_char,84,common-standard-level-1+pinyin-data
base_dictionary,扎,扎,zha,zha1,0.12,0,,0,content_single_char,single_char,85,common-standard-level-1+pinyin-data
base_dictionary,艺,艺,yi,yi4,0.12,0,,0,content_single_char,single_char,86,common-standard-level-1+pinyin-data
base_dictionary,木,木,mu,mu4,0.12,0,,0,content_single_char,single_char,87,common-standard-level-1+pinyin-data
base_dictionary,五,五,wu,wu3,0.12,0,,0,content_single_char,single_char,88,common-standard-level-1+pinyin-data
base_dictionary,支,支,zhi,zhi1,0.22,0,,0,measure_single_char,single_char,89,common-standard-level-1+pinyin-data
base_dictionary,厅,厅,ting,ting1,0.12,0,,0,content_single_char,single_char,90,common-standard-level-1+pinyin-data
base_dictionary,不,不,bu,bu4,0.12,0,,0,content_single_char,single_char,91,common-standard-level-1+pinyin-data
base_dictionary,犬,犬,quan,quan3,0.12,0,,0,content_single_char,single_char,92,common-standard-level-1+pinyin-data
base_dictionary,太,太,tai,tai4,0.12,0,,0,content_single_char,single_char,93,common-standard-level-1+pinyin-data
base_dictionary,区,区,qu,qu1,0.24,0,,0,place_direction_single_char,single_char,94,common-standard-level-1+pinyin-data
base_dictionary,历,历,li,li4,0.12,0,,0,content_single_char,single_char,95,common-standard-level-1+pinyin-data
base_dictionary,歹,歹,dai,dai3,0.12,0,,0,content_single_char,single_char,96,common-standard-level-1+pinyin-data
base_dictionary,友,友,you,you3,0.12,0,,0,content_single_char,single_char,97,common-standard-level-1+pinyin-data
base_dictionary,尤,尤,you,you2,0.12,0,,0,content_single_char,single_char,98,common-standard-level-1+pinyin-data
base_dictionary,匹,匹,pi,pi3,0.12,0,,0,content_single_char,single_char,99,common-standard-level-1+pinyin-data
base_dictionary,车,车,che,che1,0.14,0,,0,service_content_single_char,single_char,100,common-standard-level-1+pinyin-data
base_dictionary,巨,巨,ju,ju4,0.12,0,,0,content_single_char,single_char,101,common-standard-level-1+pinyin-data
base_dictionary,牙,牙,ya,ya2,0.12,0,,0,content_single_char,single_char,102,common-standard-level-1+pinyin-data
base_dictionary,屯,屯,tun,tun2,0.12,0,,0,content_single_char,single_char,103,common-standard-level-1+pinyin-data
base_dictionary,戈,戈,ge,ge1,0.12,0,,0,content_single_char,single_char,104,common-standard-level-1+pinyin-data
base_dictionary,比,比,bi,bi3,0.30,0,,0,function_single_char,single_char,105,common-standard-level-1+pinyin-data
base_dictionary,互,互,hu,hu4,0.12,0,,0,content_single_char,single_char,106,common-standard-level-1+pinyin-data
base_dictionary,切,切,qie,qie4,0.12,0,,0,content_single_char,single_char,107,common-standard-level-1+pinyin-data
base_dictionary,瓦,瓦,wa,wa3,0.12,0,,0,content_single_char,single_char,108,common-standard-level-1+pinyin-data
base_dictionary,止,止,zhi,zhi3,0.12,0,,0,content_single_char,single_char,109,common-standard-level-1+pinyin-data
base_dictionary,少,少,shao,shao3,0.12,0,,0,content_single_char,single_char,110,common-standard-level-1+pinyin-data
base_dictionary,曰,曰,yue,yue1,0.12,0,,0,content_single_char,single_char,111,common-standard-level-1+pinyin-data
base_dictionary,日,日,ri,ri4,0.26,0,,0,time_single_char,single_char,112,common-standard-level-1+pinyin-data
base_dictionary,中,中,zhong,zhong1,0.24,0,,0,place_direction_single_char,single_char,113,common-standard-level-1+pinyin-data
base_dictionary,贝,贝,bei,bei4,0.12,0,,0,content_single_char,single_char,114,common-standard-level-1+pinyin-data
base_dictionary,冈,冈,gang,gang1,0.12,0,,0,content_single_char,single_char,115,common-standard-level-1+pinyin-data
base_dictionary,内,内,nei,nei4,0.24,0,,0,place_direction_single_char,single_char,116,common-standard-level-1+pinyin-data
base_dictionary,水,水,shui,shui3,0.12,0,,0,content_single_char,single_char,117,common-standard-level-1+pinyin-data
base_dictionary,见,见,jian,jian4,0.12,0,,0,content_single_char,single_char,118,common-standard-level-1+pinyin-data
base_dictionary,午,午,wu,wu3,0.26,0,,0,time_single_char,single_char,119,common-standard-level-1+pinyin-data
base_dictionary,牛,牛,niu,niu2,0.12,0,,0,content_single_char,single_char,120,common-standard-level-1+pinyin-data
base_dictionary,手,手,shou,shou3,0.12,0,,0,content_single_char,single_char,121,common-standard-level-1+pinyin-data
base_dictionary,气,气,qi,qi4,0.12,0,,0,content_single_char,single_char,122,common-standard-level-1+pinyin-data
base_dictionary,毛,毛,mao,mao2,0.12,0,,0,content_single_char,single_char,123,common-standard-level-1+pinyin-data
base_dictionary,壬,壬,ren,ren2,0.12,0,,0,content_single_char,single_char,124,common-standard-level-1+pinyin-data
base_dictionary,升,升,sheng,sheng1,0.22,0,,0,measure_single_char,single_char,125,common-standard-level-1+pinyin-data
base_dictionary,夭,夭,yao,yao1,0.12,0,,0,content_single_char,single_char,126,common-standard-level-1+pinyin-data
base_dictionary,长,长,zhang,zhang3,0.12,0,,0,content_single_char,single_char,127,common-standard-level-1+pinyin-data
base_dictionary,仁,仁,ren,ren2,0.12,0,,0,content_single_char,single_char,128,common-standard-level-1+pinyin-data
base_dictionary,什,什,shen,shen2,0.12,0,,0,content_single_char,single_char,129,common-standard-level-1+pinyin-data
base_dictionary,片,片,pian,pian4,0.22,0,,0,measure_single_char,single_char,130,common-standard-level-1+pinyin-data
base_dictionary,仆,仆,pu,pu1,0.12,0,,0,content_single_char,single_char,131,common-standard-level-1+pinyin-data
base_dictionary,化,化,hua,hua4,0.12,0,,0,content_single_char,single_char,132,common-standard-level-1+pinyin-data
base_dictionary,仇,仇,chou,chou2,0.12,0,,0,content_single_char,single_char,133,common-standard-level-1+pinyin-data
base_dictionary,币,币,bi,bi4,0.12,0,,0,content_single_char,single_char,134,common-standard-level-1+pinyin-data
base_dictionary,仍,仍,reng,reng2,0.12,0,,0,content_single_char,single_char,135,common-standard-level-1+pinyin-data
base_dictionary,仅,仅,jin,jin3,0.12,0,,0,content_single_char,single_char,136,common-standard-level-1+pinyin-data
base_dictionary,斤,斤,jin,jin1,0.22,0,,0,measure_single_char,single_char,137,common-standard-level-1+pinyin-data
base_dictionary,爪,爪,zhao,zhao3,0.12,0,,0,content_single_char,single_char,138,common-standard-level-1+pinyin-data
base_dictionary,反,反,fan,fan3,0.12,0,,0,content_single_char,single_char,139,common-standard-level-1+pinyin-data
base_dictionary,介,介,jie,jie4,0.12,0,,0,content_single_char,single_char,140,common-standard-level-1+pinyin-data
base_dictionary,父,父,fu,fu4,0.12,0,,0,content_single_char,single_char,141,common-standard-level-1+pinyin-data
base_dictionary,从,从,cong,cong2,0.30,0,,0,function_single_char,single_char,142,common-standard-level-1+pinyin-data
base_dictionary,仑,仑,lun,lun2,0.12,0,,0,content_single_char,single_char,143,common-standard-level-1+pinyin-data
base_dictionary,今,今,jin,jin1,0.26,0,,0,time_single_char,single_char,144,common-standard-level-1+pinyin-data
base_dictionary,凶,凶,xiong,xiong1,0.12,0,,0,content_single_char,single_char,145,common-standard-level-1+pinyin-data
base_dictionary,分,分,fen,fen1,0.26,0,,0,time_single_char,single_char,146,common-standard-level-1+pinyin-data
base_dictionary,乏,乏,fa,fa2,0.12,0,,0,content_single_char,single_char,147,common-standard-level-1+pinyin-data
base_dictionary,公,公,gong,gong1,0.22,0,,0,measure_single_char,single_char,148,common-standard-level-1+pinyin-data
base_dictionary,仓,仓,cang,cang1,0.12,0,,0,content_single_char,single_char,149,common-standard-level-1+pinyin-data
base_dictionary,月,月,yue,yue4,0.26,0,,0,time_single_char,single_char,150,common-standard-level-1+pinyin-data
base_dictionary,氏,氏,shi,shi4,0.12,0,,0,content_single_char,single_char,151,common-standard-level-1+pinyin-data
base_dictionary,勿,勿,wu,wu4,0.12,0,,0,content_single_char,single_char,152,common-standard-level-1+pinyin-data
base_dictionary,欠,欠,qian,qian4,0.12,0,,0,content_single_char,single_char,153,common-standard-level-1+pinyin-data
base_dictionary,风,风,feng,feng1,0.12,0,,0,content_single_char,single_char,154,common-standard-level-1+pinyin-data
base_dictionary,丹,丹,dan,dan1,0.12,0,,0,content_single_char,single_char,155,common-standard-level-1+pinyin-data
base_dictionary,匀,匀,yun,yun2,0.12,0,,0,content_single_char,single_char,156,common-standard-level-1+pinyin-data
base_dictionary,乌,乌,wu,wu1,0.12,0,,0,content_single_char,single_char,157,common-standard-level-1+pinyin-data
base_dictionary,勾,勾,gou,gou1,0.12,0,,0,content_single_char,single_char,158,common-standard-level-1+pinyin-data
base_dictionary,凤,凤,feng,feng4,0.12,0,,0,content_single_char,single_char,159,common-standard-level-1+pinyin-data
base_dictionary,六,六,liu,liu4,0.12,0,,0,content_single_char,single_char,160,common-standard-level-1+pinyin-data
base_dictionary,文,文,wen,wen2,0.12,0,,0,content_single_char,single_char,161,common-standard-level-1+pinyin-data
base_dictionary,亢,亢,kang,kang4,0.12,0,,0,content_single_char,single_char,162,common-standard-level-1+pinyin-data
base_dictionary,方,方,fang,fang1,0.12,0,,0,content_single_char,single_char,163,common-standard-level-1+pinyin-data
base_dictionary,火,火,huo,huo3,0.12,0,,0,content_single_char,single_char,164,common-standard-level-1+pinyin-data
base_dictionary,为,为,wei,wei4,0.30,0,,0,function_single_char,single_char,165,common-standard-level-1+pinyin-data
base_dictionary,斗,斗,dou,dou4,0.12,0,,0,content_single_char,single_char,166,common-standard-level-1+pinyin-data
base_dictionary,忆,忆,yi,yi4,0.12,0,,0,content_single_char,single_char,167,common-standard-level-1+pinyin-data
base_dictionary,计,计,ji,ji4,0.12,0,,0,content_single_char,single_char,168,common-standard-level-1+pinyin-data
base_dictionary,订,订,ding,ding4,0.12,0,,0,content_single_char,single_char,169,common-standard-level-1+pinyin-data
base_dictionary,户,户,hu,hu4,0.12,0,,0,content_single_char,single_char,170,common-standard-level-1+pinyin-data
base_dictionary,认,认,ren,ren4,0.12,0,,0,content_single_char,single_char,171,common-standard-level-1+pinyin-data
base_dictionary,冗,冗,rong,rong3,0.12,0,,0,content_single_char,single_char,172,common-standard-level-1+pinyin-data
base_dictionary,讥,讥,ji,ji1,0.12,0,,0,content_single_char,single_char,173,common-standard-level-1+pinyin-data
base_dictionary,心,心,xin,xin1,0.12,0,,0,content_single_char,single_char,174,common-standard-level-1+pinyin-data
base_dictionary,尺,尺,chi,chi3,0.12,0,,0,content_single_char,single_char,175,common-standard-level-1+pinyin-data
base_dictionary,引,引,yin,yin3,0.12,0,,0,content_single_char,single_char,176,common-standard-level-1+pinyin-data
base_dictionary,丑,丑,chou,chou3,0.12,0,,0,content_single_char,single_char,177,common-standard-level-1+pinyin-data
base_dictionary,巴,巴,ba,ba1,0.12,0,,0,content_single_char,single_char,178,common-standard-level-1+pinyin-data
base_dictionary,孔,孔,kong,kong3,0.12,0,,0,content_single_char,single_char,179,common-standard-level-1+pinyin-data
base_dictionary,队,队,dui,dui4,0.12,0,,0,content_single_char,single_char,180,common-standard-level-1+pinyin-data
base_dictionary,办,办,ban,ban4,0.12,0,,0,content_single_char,single_char,181,common-standard-level-1+pinyin-data
base_dictionary,以,以,yi,yi3,0.30,0,,0,function_single_char,single_char,182,common-standard-level-1+pinyin-data
base_dictionary,允,允,yun,yun3,0.12,0,,0,content_single_char,single_char,183,common-standard-level-1+pinyin-data
base_dictionary,予,予,yu,yu3,0.12,0,,0,content_single_char,single_char,184,common-standard-level-1+pinyin-data
base_dictionary,邓,邓,deng,deng4,0.12,0,,0,content_single_char,single_char,185,common-standard-level-1+pinyin-data
base_dictionary,劝,劝,quan,quan4,0.12,0,,0,content_single_char,single_char,186,common-standard-level-1+pinyin-data
base_dictionary,双,双,shuang,shuang1,0.22,0,,0,measure_single_char,single_char,187,common-standard-level-1+pinyin-data
base_dictionary,书,书,shu,shu1,0.12,0,,0,content_single_char,single_char,188,common-standard-level-1+pinyin-data
base_dictionary,幻,幻,huan,huan4,0.12,0,,0,content_single_char,single_char,189,common-standard-level-1+pinyin-data
base_dictionary,玉,玉,yu,yu4,0.12,0,,0,content_single_char,single_char,190,common-standard-level-1+pinyin-data
base_dictionary,刊,刊,kan,kan1,0.12,0,,0,content_single_char,single_char,191,common-standard-level-1+pinyin-data
base_dictionary,未,未,wei,wei4,0.12,0,,0,content_single_char,single_char,192,common-standard-level-1+pinyin-data
base_dictionary,末,末,mo,mo4,0.12,0,,0,content_single_char,single_char,193,common-standard-level-1+pinyin-data
base_dictionary,示,示,shi,shi4,0.12,0,,0,content_single_char,single_char,194,common-standard-level-1+pinyin-data
base_dictionary,击,击,ji,ji1,0.12,0,,0,content_single_char,single_char,195,common-standard-level-1+pinyin-data
base_dictionary,打,打,da,da3,0.12,0,,0,content_single_char,single_char,196,common-standard-level-1+pinyin-data
base_dictionary,巧,巧,qiao,qiao3,0.12,0,,0,content_single_char,single_char,197,common-standard-level-1+pinyin-data
base_dictionary,正,正,zheng,zheng4,0.12,0,,0,content_single_char,single_char,198,common-standard-level-1+pinyin-data
base_dictionary,扑,扑,pu,pu1,0.12,0,,0,content_single_char,single_char,199,common-standard-level-1+pinyin-data
base_dictionary,卉,卉,hui,hui4,0.12,0,,0,content_single_char,single_char,200,common-standard-level-1+pinyin-data
base_dictionary,扒,扒,ba,ba1,0.12,0,,0,content_single_char,single_char,201,common-standard-level-1+pinyin-data
base_dictionary,功,功,gong,gong1,0.12,0,,0,content_single_char,single_char,202,common-standard-level-1+pinyin-data
base_dictionary,扔,扔,reng,reng1,0.12,0,,0,content_single_char,single_char,203,common-standard-level-1+pinyin-data
base_dictionary,去,去,qu,qu4,0.30,0,,0,function_single_char,single_char,204,common-standard-level-1+pinyin-data
base_dictionary,甘,甘,gan,gan1,0.12,0,,0,content_single_char,single_char,205,common-standard-level-1+pinyin-data
base_dictionary,世,世,shi,shi4,0.12,0,,0,content_single_char,single_char,206,common-standard-level-1+pinyin-data
base_dictionary,艾,艾,ai,ai4,0.12,0,,0,content_single_char,single_char,207,common-standard-level-1+pinyin-data
base_dictionary,古,古,gu,gu3,0.12,0,,0,content_single_char,single_char,208,common-standard-level-1+pinyin-data
base_dictionary,节,节,jie,jie2,0.12,0,,0,content_single_char,single_char,209,common-standard-level-1+pinyin-data
base_dictionary,本,本,ben,ben3,0.12,0,,0,content_single_char,single_char,210,common-standard-level-1+pinyin-data
base_dictionary,术,术,shu,shu4,0.12,0,,0,content_single_char,single_char,211,common-standard-level-1+pinyin-data
base_dictionary,可,可,ke,ke3,0.30,0,,0,function_single_char,single_char,212,common-standard-level-1+pinyin-data
base_dictionary,丙,丙,bing,bing3,0.12,0,,0,content_single_char,single_char,213,common-standard-level-1+pinyin-data
base_dictionary,左,左,zuo,zuo3,0.24,0,,0,place_direction_single_char,single_char,214,common-standard-level-1+pinyin-data
base_dictionary,厉,厉,li,li4,0.12,0,,0,content_single_char,single_char,215,common-standard-level-1+pinyin-data
base_dictionary,石,石,shi,shi2,0.12,0,,0,content_single_char,single_char,216,common-standard-level-1+pinyin-data
base_dictionary,右,右,you,you4,0.24,0,,0,place_direction_single_char,single_char,217,common-standard-level-1+pinyin-data
base_dictionary,布,布,bu,bu4,0.12,0,,0,content_single_char,single_char,218,common-standard-level-1+pinyin-data
base_dictionary,夯,夯,hang,hang1,0.12,0,,0,content_single_char,single_char,219,common-standard-level-1+pinyin-data
base_dictionary,戊,戊,wu,wu4,0.12,0,,0,content_single_char,single_char,220,common-standard-level-1+pinyin-data
base_dictionary,龙,龙,long,long2,0.12,0,,0,content_single_char,single_char,221,common-standard-level-1+pinyin-data
base_dictionary,平,平,ping,ping2,0.12,0,,0,content_single_char,single_char,222,common-standard-level-1+pinyin-data
base_dictionary,灭,灭,mie,mie4,0.12,0,,0,content_single_char,single_char,223,common-standard-level-1+pinyin-data
base_dictionary,轧,轧,ya,ya4,0.12,0,,0,content_single_char,single_char,224,common-standard-level-1+pinyin-data
base_dictionary,东,东,dong,dong1,0.24,0,,0,place_direction_single_char,single_char,225,common-standard-level-1+pinyin-data
base_dictionary,卡,卡,ka,ka3,0.14,0,,0,service_content_single_char,single_char,226,common-standard-level-1+pinyin-data
base_dictionary,北,北,bei,bei3,0.24,0,,0,place_direction_single_char,single_char,227,common-standard-level-1+pinyin-data
base_dictionary,占,占,zhan,zhan4,0.12,0,,0,content_single_char,single_char,228,common-standard-level-1+pinyin-data
base_dictionary,凸,凸,tu,tu1,0.12,0,,0,content_single_char,single_char,229,common-standard-level-1+pinyin-data
base_dictionary,卢,卢,lu,lu2,0.12,0,,0,content_single_char,single_char,230,common-standard-level-1+pinyin-data
base_dictionary,业,业,ye,ye4,0.12,0,,0,content_single_char,single_char,231,common-standard-level-1+pinyin-data
base_dictionary,旧,旧,jiu,jiu4,0.12,0,,0,content_single_char,single_char,232,common-standard-level-1+pinyin-data
base_dictionary,帅,帅,shuai,shuai4,0.12,0,,0,content_single_char,single_char,233,common-standard-level-1+pinyin-data
base_dictionary,归,归,gui,gui1,0.12,0,,0,content_single_char,single_char,234,common-standard-level-1+pinyin-data
base_dictionary,旦,旦,dan,dan4,0.12,0,,0,content_single_char,single_char,235,common-standard-level-1+pinyin-data
base_dictionary,目,目,mu,mu4,0.12,0,,0,content_single_char,single_char,236,common-standard-level-1+pinyin-data
base_dictionary,且,且,qie,qie3,0.30,0,,0,function_single_char,single_char,237,common-standard-level-1+pinyin-data
base_dictionary,叶,叶,ye,ye4,0.12,0,,0,content_single_char,single_char,238,common-standard-level-1+pinyin-data
base_dictionary,甲,甲,jia,jia3,0.12,0,,0,content_single_char,single_char,239,common-standard-level-1+pinyin-data
base_dictionary,申,申,shen,shen1,0.12,0,,0,content_single_char,single_char,240,common-standard-level-1+pinyin-data
base_dictionary,叮,叮,ding,ding1,0.12,0,,0,content_single_char,single_char,241,common-standard-level-1+pinyin-data
base_dictionary,电,电,dian,dian4,0.12,0,,0,content_single_char,single_char,242,common-standard-level-1+pinyin-data
base_dictionary,号,号,hao,hao4,0.14,0,,0,service_content_single_char,single_char,243,common-standard-level-1+pinyin-data
base_dictionary,田,田,tian,tian2,0.12,0,,0,content_single_char,single_char,244,common-standard-level-1+pinyin-data
base_dictionary,由,由,you,you2,0.30,0,,0,function_single_char,single_char,245,common-standard-level-1+pinyin-data
base_dictionary,只,只,zhi,zhi3,0.22,0,,0,measure_single_char,single_char,246,common-standard-level-1+pinyin-data
base_dictionary,叭,叭,ba,ba1,0.12,0,,0,content_single_char,single_char,247,common-standard-level-1+pinyin-data
